job_title,occupation_group,occupation,occupation_group_index,occupation_index
เจ้าหน้าที่ตรวจสอบและเร่งรัดหนี้สิน,Finance,Collection Representative,55,117
เจ้าหน้าที่ส่งเสริม สาขาพืชไร่ (ปฎิบัติงานที่สีคิ้ว โคราช),Agricultural And Natural Resources,Agricultural and Natural Resource,6,19
Material Development Dept.(Supervisor),Research and Development,Research and Development Manager,128,486
Online Marketer & Graphic Design,Graphic Designer,Graphic Designer,68,263
เจ้าหน้าที่ประจำหน่วยงาน,Administration,Administrator,2,8
ครูสอนวิชาสังคม,Teacher,Social Studies Teacher,140,518
Distribution Director,Marketing,Distribution Director,88,172
ครูคณิตศาสตร์ (3 อัตรา)<br><font color=red><b>(Urgently Required!!!)</b></font>,Teacher,Math Teacher,140,349
Sr. System Engineer,Engineering,Computer and Systems Engineer,50,129
เจ้าหน้าที่บริการธุรกิจ/ เจ้าหน้าที่อำนวยบริการ,Marketing,Marketing Coordinator,88,341
ช่างเทดนิด,Technician,Technician,141,550
พยาบาล FULLTIME ประจำสาขาแฟชั่นไอสแลนด์,Nurse,Nurse,101,380
CPD,Accounting,Accountant,1,4
IT Security ,IT and Computer,IT Security,74,289
แม่บ้าน,Housekeeping,Cleaning Staff,72,108
Sr. Production Planner (audio and video product)<br>(Chonburi),Production Planner,Production Planning Manager,119,449
Technician Spray & Print,Printing Technician,Printing Technician,115,436
Agency Reader,Sales,Sales,132,495
Flight Crew Training Manager,HR,Training and Development Manager,69,565
นักเวชศาสตร์ฟื้นฟู,Medical Therapy/Rehab Services,Medical Therapy/Rehab Services,94,365
Network Technician<br>(Singapore),Engineering,Network Engineer,50,376
Production Planning Supervisor (Automotive),Production Planner,Production Planning Manager,119,449
ช่างเครื่องตัด-พับ,Technician,Milling Technician,141,369
Assistant Site Manager,Engineering,Site Manager,50,517
BOI Manager [Job ID:38071],BOI Officer,BOI Assistant Manager,17,52
Senior Software Tester,IT and Computer,Tester,74,553
พนักงานประชาสัมพันธ์ สาขาเซ็นทรัลปิ่นเกล้า,Customer Service,Guest Service Agent,37,267
Tax Director/ผู้อำนวยการฝ่ายภาษี,Lawyer,Tax Director,82,543
Site Engineer M.E,Engineering,Site Engineer,50,515
<font color=red><b>Urgently Required!!!</b></font ><br>Facility Engineer,Engineering,Facilities Engineer,50,214
IT Helpdesk,IT and Computer,IT Support,74,291
ช่างสัก,Fashion Designer,Tattoo Designer,54,540
Voice Over IP Engineer,Voice Over,Voice Over,150,583
Medical Manager,Physician/Doctor,Medical Director,110,359
Junior Process Technologist,Technician,Technician,141,550
Journalist,Writer and Editor,Journalist,152,314
Printing Production Specialist,Printing Technician,Printing Technician,115,436
งาน Broadcasting,Broadcasting,Radio and Televison Broadcasting,20,473
หัวฝ่ายบริหาร,Top Level Executive,Executive Team Leader,142,212
ครูสอนวิชาไฟฟ้าอุตสาหกรรม,Teacher,College and Other Vocational Instructor,140,118
Animal Husbandry Scientist (Swine) <br>,Animal Scientist,Animal Scientist,9,29
เซลล์ขายหลังคาเหล็กเมทัลชีทสาขาระยอง,Sales,Sales,132,495
ช่างเครื่องยนต์,Technician,Automotive Technician,141,50
"Website Manager , Media Manager , Advertising Manager , Dev Manager",Advertising and PR,Advertising Manager,5,11
ครูประจำชั้นประถมศึกษา,Teacher,Elementary Teacher,140,193
เจ้าหน้าที่ควบคุมการขนส่ง,Transportation Officer,Transportation Officer,146,568
PC,Sales,Product Consultant,132,441
หัวหน้าแผนกจัดซื้อ,Purchasing,Purchasing Manager,125,465
เจ้าหน้าที่ด้านการประยุกต์ใช้ผลิตภัณฑ์อาหาร,Nutritionist,Dietitian and Nutritionist,102,167
Production (งานพิมพ์)<br>(1  ตำแหน่ง),Printing Technician,Printing Technician,115,436
Performer,Performer/Artist,Performer/Artist,105,408
พนักงานติดตั้งฟิล์มกรองแสง (เขตหนองแขม),Construction/Building Technician,Film Lighting Filter Installing Technician,31,218
ช่างควบคุมเครื่องจักร,Operation Staff,Machine Operator,103,333
Therapist (สาขาพระราม 9),Medical Therapy/Rehab Services,Clinical Therapist,94,114
งานตรวจสอบ,IT and Computer,IT Auditor,74,286
Operations/Plant Management Officer,Production,Plant Management Officer,118,424
Media Executive,Advertising and PR,Advertising Executive,5,10
Layou and Printing Operations,Operation Staff,"Layout,Prepress,Printing & Binding Operations",103,323
ช่างซ่อมโทรทัศน์,Electronic Technician,TV Repairing Technician,49,539
ผู้ดูแลความสัมพันธ์ลูกค้าผู้ประกอบการ,Customer Service,Client Relationship,37,109
Cinematographer - production,Photographer & Videographer,Cinematographer,108,105
บาริสต้า,Food Preparation,Barista,62,58
เจ้าหน้าที่บันทึกข้อมูล,Administration,Data Entry/Order Processor,2,155
Design Engineer (Press die) (34383),Engineering,DIE Designer,50,151
Event Executive Officer,Event,Event Management,53,207
ผู้กำกับภาพ (Cinematographer / Director of Photography),Photographer & Videographer,Cinematographer,108,105
Play out,Broadcasting,Broadcast Technician,20,68
Female Therapist (Phuket),Medical Therapy/Rehab Services,Clinical Therapist,94,114
<font color=red><b>Urgently Required!!!</font color></b><br>Graphic Designer/  Flash Game,Graphic Designer,Graphic Designer,68,263
Import & Export Staff (G-8892),Import and Export,Import and Export Officer,75,293
เจ้าหน้าที่ฝึกอบรมผลิตภัณฑ์ (สุขภาพ อาหาร เครื่องดื่ม),Trainer,Instructor,144,298
CNC Engineer (46382),Engineering,Welding Engineer,50,592
นักวางแผน (วิศวกรรมคลังน้ำมัน),Engineering,Petrochemical Engineer,50,411
ช่างทองหลายอัตรา,Jewelry Technician,Goldsmith,78,260
นักเทคนิคการแพทย์,Medical Technologist,Medical Technologist,93,364
Research & Development Staff,Research and Development,Research and Development Director,128,483
HR Analyst,HR,HR Officer,69,271
Government employee,Administration,Administrator,2,8
Kitchen Expeditor,Food Preparation,Expediter,62,213
สัตวบาลประจำฟาร์มสัตว์ปีก (ในประเทศ),Agricultural And Natural Resources,Animal Husbandman,6,28
creative and art director ,Creative Art,Creative Art,36,145
หัวหน้าแผนกวิจัยและพัฒนา,Research and Development,Research and Development Manager,128,486
Agile Coach,Teacher,Coach,140,115
Shipping And Receiving Officer,Logistic Officer,Shipping Officer,85,513
 officer R&D,Research and Development,Research and Development Executive,128,485
Ground Attendant (Phuket Station),Flight Attendant,Ground Attendant,58,265
ฝ่ายผลิต / ผลิตภัณฑ์,Production,Production,118,445
Operation and Maintenance Engineer,Engineering,Operation and Maintenance Engineer,50,387
เทรนเนอร์,Trainer,Trainer,144,563
เจ้าหน้าที่ปฏิบัติการจัดซื้อ,Purchasing,Purchasing Executive,125,464
Collection Assistant,Finance,Collection Representative,55,117
HR Student trainee and Part-time,HR,HR Officer,69,271
Radiologist/รังสีแพทย์,Physician/Doctor,Radiologist,110,474
<font color=red><b><< URGENTLY REQUIRED >></font color></b><br>Data Mining Officer,Data,Data Mining Specialist,38,157
Incoming Inspection Technician,Import and Export,Incoming Quality Inspector,75,294
Pratical Nurse ประจำโรงพยาบาล,Medical Assistant,Practical Nursing,91,431
เจ้าหน้าที่สอนแต่งหน้า (Makeup Artist) /<br>Senior Makeup Artist Trainner,Makeup Artist,Makeup Artist,86,335
STORE KEEPER,Warehouse Management,Store Officer,151,529
ประสานงาน​กอง​บรรณาธิการ​/พิสูจน์​อักษร​,Writer and Editor,Assistant Editor,152,40
เจ้าหน้าที่พัฒนา Website (ประจำศูนย์การค้าพันธ์ทิพย์ พลาซ่า สาขาประตูน้ำ),Application Designer,Web Designer,10,590
เจ้าพนักงานเวชกิจฉุกเฉิน,Ambulance Attendant,Ambulance Attendant,8,26
ช่างฝีมือและหัตถกร,Artisan and Craftperson,Artisan and Craftperson,14,37
Application Engineer,Engineering,Computer and Systems Engineer,50,129
งานจัดการวัสดุอันตราย,Material Management,Hazardous Materials Handle,89,275
Light Vehicle Supervisor,Transportation Officer,"Vehicle Dispatch,Routing and Scheduling Officer",146,576
พนักงานขับรถ-จัดส่ง,Driver,Messenger,44,368
Cashier,Customer Service,Cashier,37,90
ช่างซ่อมเครื่อง,Technician,Instrument Repair Technician,141,300
<font color=red><b>Urgently Required!!!</b></font ><br>Distribution Supervisor<br>(Location : Bangkok),Marketing,Distribution Executive,88,173
Set up New Store,Business Developer,Business Developer,23,73
Risk Management officer ,Finance,Finance Officer,55,222
ช่างวัดสายตาประกอบแว่น,Optician,Optician,104,391
Farm Extension Officer,Agricultural And Natural Resources,Agricultural Specialist,6,17
